Title,Link,pubDate,Description,Source,Tag
Elephant protector and fossil hunter Richard Leakey leaves outsized legacy in Kenya - Mongabay.com,https://news.mongabay.com/2022/01/elephant-protector-and-fossil-hunter-richard-leakey-leaves-outsized-legacy-in-kenya/,1/25/2022,Elephant protector and fossil hunter Richard Leakey leaves outsized legacy in Kenya&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
Brazil's Mato Grosso do Sul mobilizes to reduce wildlife massacre on its roads - Mongabay.com,https://news.mongabay.com/2022/04/brazils-mato-grosso-do-sul-mobilizes-to-reduce-wildlife-massacre-on-its-roads/,4/25/2022,Brazil's Mato Grosso do Sul mobilizes to reduce wildlife massacre on its roads&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
Conservation Aquaculture: A Special Sessions Synopsis - World Aquaculture Society - was.org,https://www.was.org/article/Conservation-Aquaculture-A-Special-Sessions-Synopsis.aspx,3/15/2022,Conservation Aquaculture: A Special Sessions Synopsis - World Aquaculture Society&nbsp;&nbsp;was.org,was.org,AI-LTS
"Jaguars in Mexico are growing in number, a promising sign that national conservation strategies are working - Mongabay.com",https://news.mongabay.com/2021/11/jaguars-in-mexico-are-growing-in-number-a-promising-sign-that-national-conservation-strategies-are-working/,11/22/2021,"Jaguars in Mexico are growing in number, a promising sign that national conservation strategies are working&nbsp;&nbsp;Mongabay.com",Mongabay.com,AI-LTS
"Study: Farmland birds in Nepal, India in dire need of conservation action - Mongabay.com",https://news.mongabay.com/2022/04/study-farmland-birds-in-nepal-india-in-dire-need-of-conservation-action/,4/22/2022,"Study: Farmland birds in Nepal, India in dire need of conservation action&nbsp;&nbsp;Mongabay.com",Mongabay.com,AI-LTS
"In Mexico, a race to save the last wetlands of San Cristóbal de las Casas - Mongabay.com",https://news.mongabay.com/2022/04/in-mexico-a-race-to-save-the-last-wetlands-of-san-cristobal-de-las-casas/,4/26/2022,"In Mexico, a race to save the last wetlands of San Cristóbal de las Casas&nbsp;&nbsp;Mongabay.com",Mongabay.com,AI-LTS
"World Health Day 2022: Celebrating the Himalayan plants supporting local livelihoods, health, and biodiversity - Wildlife Trade News from TRAFFIC - TRAFFIC - Wildlife Trade News",https://www.traffic.org/news/world-health-day-2022-celebrating-the-himalayan-plants-supporting-local-livelihoods-health-and-biodiversity/,4/7/2022,"World Health Day 2022: Celebrating the Himalayan plants supporting local livelihoods, health, and biodiversity - Wildlife Trade News from TRAFFIC&nbsp;&nbsp;TRAFFIC - Wildlife Trade News",TRAFFIC - Wildlife Trade News,AI-LTS
UN biodiversity talks fail to agree on new targets to protect wildlife - New Scientist,https://www.newscientist.com/article/2314046-un-biodiversity-talks-fail-to-agree-on-new-targets-to-protect-wildlife/,3/29/2022,UN biodiversity talks fail to agree on new targets to protect wildlife&nbsp;&nbsp;New Scientist,New Scientist,AI-LTS
Bornean communities locked into 2-million-hectare carbon deal they don't know about - Mongabay.com,https://news.mongabay.com/2021/11/bornean-communities-locked-into-2-million-hectare-carbon-deal-they-dont-know-about/,11/9/2021,Bornean communities locked into 2-million-hectare carbon deal they don't know about&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
WildEarth TV Channel Announces NFT Collection For Wildlife Conservation - Yahoo Finance,https://finance.yahoo.com/news/wildearth-tv-channel-announces-nft-045000053.html,1/28/2022,WildEarth TV Channel Announces NFT Collection For Wildlife Conservation&nbsp;&nbsp;Yahoo Finance,Yahoo Finance,AI-LTS
"Human-elephant coexistence part 3: Elephants, wildlife & how they help with climate - Open Access Government",https://www.openaccessgovernment.org/carbon-dioxide/125427/,12/6/2021,"Human-elephant coexistence part 3: Elephants, wildlife & how they help with climate&nbsp;&nbsp;Open Access Government",Open Access Government,AI-LTS
US Fish And Wildlife Propose To List Northern Long-Eared Bat As Endangered Species - Environmental Law - United States - Mondaq,https://www.mondaq.com/unitedstates/environmental-law/1177066/us-fish-and-wildlife-propose-to-list-northern-long-eared-bat-as-endangered-species,4/5/2022,US Fish And Wildlife Propose To List Northern Long-Eared Bat As Endangered Species - Environmental Law - United States&nbsp;&nbsp;Mondaq,Mondaq,AI-LTS
These 5 tech innovations can protect wildlife and Earth - YourStory,https://yourstory.com/socialstory/2022/03/drone-ai-image-sensor-tech-innovations-protect-wildlife-earth/amp,3/30/2022,These 5 tech innovations can protect wildlife and Earth&nbsp;&nbsp;YourStory,YourStory,AI-LTS
Report: Orangutans and their habitat in Indonesia need full protection now - Mongabay.com,https://news.mongabay.com/2021/11/report-orangutans-and-their-habitat-in-indonesia-need-full-protection-now/,11/19/2021,Report: Orangutans and their habitat in Indonesia need full protection now&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
"Meet Magali, the conservation warrior rescuing Peru's rainforest animals: Video - Mongabay.com",https://news.mongabay.com/2021/11/meet-magali-the-conservation-warrior-rescuing-perus-rainforest-animals-video/,11/26/2021,"Meet Magali, the conservation warrior rescuing Peru's rainforest animals: Video&nbsp;&nbsp;Mongabay.com",Mongabay.com,AI-LTS
Q&A with Whitley Award winner Sonam Tashi Lama - Mongabay.com,https://news.mongabay.com/2022/05/qa-with-whitley-award-winner-sonam-tashi-lama/,5/2/2022,Q&amp;A with Whitley Award winner Sonam Tashi Lama&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
"Podcast: Afield at last, researchers head out for a new season - Mongabay.com",https://news.mongabay.com/2022/04/podcast-afield-at-last-researchers-head-out-for-a-new-season/,4/7/2022,"Podcast: Afield at last, researchers head out for a new season&nbsp;&nbsp;Mongabay.com",Mongabay.com,AI-LTS
COVID-19: Impact on sustainability and lessons learned - Medical News Today,https://www.medicalnewstoday.com/articles/how-covid-19-impacted-sustainability-and-what-this-means-for-health,4/7/2022,COVID-19: Impact on sustainability and lessons learned&nbsp;&nbsp;Medical News Today,Medical News Today,AI-LTS
Huawei Announces Cooperation Progress with IUCN on Tech4Nature at WCC 2021 - Huawei,https://www.huawei.com/en/news/2021/9/tech4nature-tech4all-iucn-wcc-nature-guardian,9/7/2021,Huawei Announces Cooperation Progress with IUCN on Tech4Nature at WCC 2021&nbsp;&nbsp;Huawei,Huawei,AI-LTS
'A risky business': Online illegal wildlife trade continues to soar in Myanmar - Mongabay.com,https://news.mongabay.com/2022/04/a-risky-business-online-illegal-wildlife-trade-continues-to-soar-in-myanmar/,4/4/2022,'A risky business': Online illegal wildlife trade continues to soar in Myanmar&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
The 2021 eco-fighters of South India who persevered through the pandemic - The Hindu,https://www.thehindu.com/sci-tech/energy-and-environment/organisations-and-individuals-who-made-a-difference-to-the-environment-in-2021/article38049139.ece,12/27/2021,The 2021 eco-fighters of South India who persevered through the pandemic&nbsp;&nbsp;The Hindu,The Hindu,AI-LTS
Genomic Analysis Reveals Pink Pigeon Is at Risk of Extinction - Technology Networks,https://www.technologynetworks.com/genomics/news/genomic-analysis-reveals-pink-pigeon-is-at-risk-of-extinction-361731,5/18/2022,Genomic Analysis Reveals Pink Pigeon Is at Risk of Extinction&nbsp;&nbsp;Technology Networks,Technology Networks,AI-LTS
Evusheld significantly protected against symptomatic COVID-19 for at least six months in PROVENT Phase III trial in high-risk populations - AstraZeneca,https://www.astrazeneca.com/media-centre/press-releases/2022/evusheld-significantly-protected-against-symptomatic-covid-19-for-at-least-six-months-in-provent-phase-iii-trial-in-high-risk-populations1.html,4/20/2022,Evusheld significantly protected against symptomatic COVID-19 for at least six months in PROVENT Phase III trial in high-risk populations&nbsp;&nbsp;AstraZeneca,AstraZeneca,AI-LTS
Over three-quarters of the world’s vital carbon stores are unprotected - New Scientist,https://www.newscientist.com/article/2298226-over-three-quarters-of-the-worlds-vital-carbon-stores-are-unprotected/,11/18/2021,Over three-quarters of the world’s vital carbon stores are unprotected&nbsp;&nbsp;New Scientist,New Scientist,AI-LTS
Study finds high prevalence of gut parasites in Nepal's rhinos - Mongabay.com,https://news.mongabay.com/2022/04/study-finds-high-prevalence-of-gut-parasites-in-nepals-rhinos/,4/27/2022,Study finds high prevalence of gut parasites in Nepal's rhinos&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
Bluefin tuna guide | BBC Wildlife Magazine - BBC Discover Wildlife,https://www.discoverwildlife.com/animal-facts/fish/facts-about-bluefin-tuna/,5/2/2022,Bluefin tuna guide | BBC Wildlife Magazine&nbsp;&nbsp;BBC Discover Wildlife,BBC Discover Wildlife,AI-LTS
"Links between terrorism and the ivory trade overblown, study says - Mongabay.com",https://news.mongabay.com/2022/02/links-between-terrorism-and-the-ivory-trade-overblown-study-says/,2/1/2022,"Links between terrorism and the ivory trade overblown, study says&nbsp;&nbsp;Mongabay.com",Mongabay.com,AI-LTS
"State of Canada's natural and cultural heritage places, 2021 - Parcs Canada",https://www.pc.gc.ca/en/docs/pc/rpts/elnhc-scnhp/2021,12/17/2021,"State of Canada's natural and cultural heritage places, 2021&nbsp;&nbsp;Parcs Canada",Parcs Canada,AI-LTS
"Brazil leads Amazon in forest loss this year, Indigenous and protected areas hold out - Mongabay.com",https://news.mongabay.com/2021/10/brazil-leads-amazon-in-forest-loss-this-year-indigenous-territories-and-parks-hold-out/,10/6/2021,"Brazil leads Amazon in forest loss this year, Indigenous and protected areas hold out&nbsp;&nbsp;Mongabay.com",Mongabay.com,AI-LTS
COVID‐19 lockdowns increase public interest in urban nature - Wiley,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2374,8/2/2021,COVID‐19 lockdowns increase public interest in urban nature&nbsp;&nbsp;Wiley,Wiley,AI-LTS
Ecuador promises more openness of fisheries information under new initiative - Mongabay.com,https://news.mongabay.com/2022/05/ecuador-promises-more-openness-of-fisheries-information-under-new-initiative/,5/5/2022,Ecuador promises more openness of fisheries information under new initiative&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
Marauding monkeys on an Indonesian island point to environmental pressures - Mongabay.com,https://news.mongabay.com/2022/02/marauding-monkeys-on-an-indonesian-island-point-to-environmental-pressures/,2/23/2022,Marauding monkeys on an Indonesian island point to environmental pressures&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
"7 Species That Are No Longer Endangered, And How To Help Them Stay That Way - Plant Based News",https://plantbasednews.org/news/animal-species-no-longer-endangered/,4/22/2022,"7 Species That Are No Longer Endangered, And How To Help Them Stay That Way&nbsp;&nbsp;Plant Based News",Plant Based News,AI-LTS
The small cats nobody knows: Wild felines face intensifying planetary risks - Mongabay.com,https://news.mongabay.com/2022/02/the-small-cats-nobody-knows-wild-felines-face-intensifying-planetary-risks/,2/17/2022,The small cats nobody knows: Wild felines face intensifying planetary risks&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
'Small-scale fishers have a Ph.D. in the ocean': Q&A with Vatosoa Rakotondrazafy - Mongabay.com,https://news.mongabay.com/2022/03/small-scale-fishers-have-a-ph-d-in-the-ocean-qa-with-vatosoa-rakotondrazafy/,3/8/2022,'Small-scale fishers have a Ph.D. in the ocean': Q&amp;A with Vatosoa Rakotondrazafy&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
How to bring butterflies to your garden - BBC Discover Wildlife,https://www.discoverwildlife.com/how-to/wildlife-gardening/how-to-bring-butterflies-to-your-garden/,4/29/2022,How to bring butterflies to your garden&nbsp;&nbsp;BBC Discover Wildlife,BBC Discover Wildlife,AI-LTS
Mongabay's Top 10 Indigenous News Stories of 2021 - Mongabay.com,https://news.mongabay.com/2021/12/the-top-10-indigenous-news-stories-from-2021/,12/30/2021,Mongabay's Top 10 Indigenous News Stories of 2021&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
Newsletter 2022-03-24 - Mongabay.com,https://news.mongabay.com/newsletter/newsletter-2022-03-24/,3/24/2022,Newsletter 2022-03-24&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
Traditional knowledge guides protection of planetary health in Finland - Mongabay.com,https://news.mongabay.com/2022/03/traditional-knowledge-guides-protection-of-planetary-health-in-finland/,3/31/2022,Traditional knowledge guides protection of planetary health in Finland&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
'We scientists engage in soft diplomacy': Q&A with Christine Wilkinson - Mongabay.com,https://news.mongabay.com/2021/12/we-scientists-engage-in-soft-diplomacy-qa-with-christine-wilkinson/,12/23/2021,'We scientists engage in soft diplomacy': Q&amp;A with Christine Wilkinson&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
Private investors look to high-end tourism to fund conservation in Mozambique - Mongabay.com,https://news.mongabay.com/2021/06/private-investors-look-to-high-end-tourism-to-fund-conservation-in-mozambique/,6/24/2021,Private investors look to high-end tourism to fund conservation in Mozambique&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
What is the conservation industry doing to address its lack of diversity? - BBC Discover Wildlife,https://www.discoverwildlife.com/people/what-is-the-conservation-industry-doing-to-address-its-lack-of-diversity/,4/28/2022,What is the conservation industry doing to address its lack of diversity?&nbsp;&nbsp;BBC Discover Wildlife,BBC Discover Wildlife,AI-LTS
Fire and forest loss ignite concern for Brazilian Amazon's jaguars - Mongabay.com,https://news.mongabay.com/2021/10/fire-and-forest-loss-ignites-concern-for-brazilian-amazons-jaguars/,10/12/2021,Fire and forest loss ignite concern for Brazilian Amazon's jaguars&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
Study finds major brands selling cat food that contain protected sharks - Mongabay.com,https://news.mongabay.com/2022/03/study-finds-major-brands-selling-cat-food-that-contain-protected-sharks/,3/9/2022,Study finds major brands selling cat food that contain protected sharks&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
Support Conservation Efforts at Hemker Park and Zoo's First Gala - WJON News,https://wjon.com/support-conservation-efforts-at-hemker-park-and-zoos-first-gala/,2/7/2022,Support Conservation Efforts at Hemker Park and Zoo's First Gala&nbsp;&nbsp;WJON News,WJON News,AI-LTS
New Year resolutions that help nature | BBC Wildlife Magazine - BBC Discover Wildlife,https://www.discoverwildlife.com/people/wildlife-nature-new-year-resolutions/,12/31/2021,New Year resolutions that help nature | BBC Wildlife Magazine&nbsp;&nbsp;BBC Discover Wildlife,BBC Discover Wildlife,AI-LTS
Q&A: Can 'nature-based solutions' help address climate change? - Carbon Brief,https://www.carbonbrief.org/qa-can-nature-based-solutions-help-address-climate-change/,12/1/2021,Q&amp;A: Can 'nature-based solutions' help address climate change?&nbsp;&nbsp;Carbon Brief,Carbon Brief,AI-LTS
DNR Wildlife Through Forestry series returns - Michigan (.gov),https://www.michigan.gov/dnr/about/newsroom/releases/2022/04/20/dnr-wildlife-through-forestry-series-returns,4/20/2022,DNR Wildlife Through Forestry series returns&nbsp;&nbsp;Michigan (.gov),Michigan (.gov),AI-LTS
7 Solutions to Biodiversity Loss - EARTH.ORG,https://earth.org/solutions-to-biodiversity-loss/,3/31/2022,7 Solutions to Biodiversity Loss&nbsp;&nbsp;EARTH.ORG,EARTH.ORG,AI-LTS
Ancient bison are coming back to the UK – starting in Kent... - BBC Discover Wildlife,https://www.discoverwildlife.com/animal-facts/mammals/bison-reintroduction-blean-kent-uk/,3/20/2022,Ancient bison are coming back to the UK – starting in Kent...&nbsp;&nbsp;BBC Discover Wildlife,BBC Discover Wildlife,AI-LTS
"Wildlife rangers: why they are nature's first responders, and why they need more support - BBC Discover Wildlife",https://www.discoverwildlife.com/people/wildlife-rangers-why-they-are-natures-first-responders-and-why-they-need-more-support/,7/30/2021,"Wildlife rangers: why they are nature's first responders, and why they need more support&nbsp;&nbsp;BBC Discover Wildlife",BBC Discover Wildlife,AI-LTS
Green charities deliver verdict on stalled “super year” for marine protection - The Wildlife Trusts,https://www.wildlifetrusts.org/news/green-charities-deliver-verdict-stalled-super-year-marine-protection,1/17/2022,Green charities deliver verdict on stalled “super year” for marine protection&nbsp;&nbsp;The Wildlife Trusts,The Wildlife Trusts,AI-LTS
"Tusk Conservation Awards Announces Winner Of The Wildlife Ranger Award 2021, Suleiman Saidu - Canada NewsWire",https://www.newswire.ca/news-releases/tusk-conservation-awards-announces-winner-of-the-wildlife-ranger-award-2021-suleiman-saidu-805183343.html,11/15/2021,"Tusk Conservation Awards Announces Winner Of The Wildlife Ranger Award 2021, Suleiman Saidu&nbsp;&nbsp;Canada NewsWire",Canada NewsWire,AI-LTS
"In Burundi, one-time combatants who razed forests now raise seedlings - Mongabay.com",https://news.mongabay.com/2022/04/in-burundi-one-time-combatants-who-razed-forests-now-raise-seedlings/,4/21/2022,"In Burundi, one-time combatants who razed forests now raise seedlings&nbsp;&nbsp;Mongabay.com",Mongabay.com,AI-LTS
"New research hopes to shine a light on wedgefish, the 'pangolin of the ocean' - Mongabay.com",https://news.mongabay.com/2021/09/new-research-hopes-to-shine-a-light-on-wedgefish-the-pangolin-of-the-ocean/,9/7/2021,"New research hopes to shine a light on wedgefish, the 'pangolin of the ocean'&nbsp;&nbsp;Mongabay.com",Mongabay.com,AI-LTS
"National parks DON'T always boost biodiversity, British Ecological Society report claims - Daily Mail",https://www.dailymail.co.uk/sciencetech/article-10740157/National-parks-DONT-boost-biodiversity-British-Ecological-Society-report-claims.html,4/21/2022,"National parks DON'T always boost biodiversity, British Ecological Society report claims&nbsp;&nbsp;Daily Mail",Daily Mail,AI-LTS
Deforestation on the rise as poverty soars in Nigeria - Mongabay.com,https://news.mongabay.com/2022/03/deforestation-on-the-rise-as-poverty-soars-in-nigeria/,3/24/2022,Deforestation on the rise as poverty soars in Nigeria&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
Govt notifies 11 sites as 'protected areas' for wildlife conservation - DAWN.com,https://www.dawn.com/news/1669663,1/16/2022,Govt notifies 11 sites as 'protected areas' for wildlife conservation&nbsp;&nbsp;DAWN.com,DAWN.com,AI-LTS
Facts about Polar Bears - EARTH.ORG,https://earth.org/endangered-animals-species-spotlight-polar-bears/,2/25/2022,Facts about Polar Bears&nbsp;&nbsp;EARTH.ORG,EARTH.ORG,AI-LTS
Guest post: How climate change is driving forest loss in India - Carbon Brief,https://www.carbonbrief.org/guest-post-how-climate-change-is-driving-forest-loss-in-india/,4/19/2022,Guest post: How climate change is driving forest loss in India&nbsp;&nbsp;Carbon Brief,Carbon Brief,AI-LTS
"In Argentina, sport fishers are reeling in threatened sharks to save them - Mongabay.com",https://news.mongabay.com/2022/02/in-argentina-sport-fishers-are-reeling-in-threatened-sharks-to-save-them/,2/10/2022,"In Argentina, sport fishers are reeling in threatened sharks to save them&nbsp;&nbsp;Mongabay.com",Mongabay.com,AI-LTS
Relocating croplands could drastically reduce the environmental impacts of global food production | Communications Earth & Environment - Nature.com,https://www.nature.com/articles/s43247-022-00360-6,3/10/2022,Relocating croplands could drastically reduce the environmental impacts of global food production | Communications Earth & Environment&nbsp;&nbsp;Nature.com,Nature.com,AI-LTS
Reef larval recruitment in response to seascape dynamics in the SW Atlantic | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-11809-1,5/11/2022,Reef larval recruitment in response to seascape dynamics in the SW Atlantic | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-LTS
Facts about Pangolins - EARTH.ORG,https://earth.org/endangered-species-spotlight-pangolins/,3/17/2022,Facts about Pangolins&nbsp;&nbsp;EARTH.ORG,EARTH.ORG,AI-LTS
Malaysian officials deny deforestation drives deadly human-wildlife conflict - Mongabay.com,https://news.mongabay.com/2022/01/malaysian-officials-deny-deforestation-drives-deadly-human-wildlife-conflict/,1/31/2022,Malaysian officials deny deforestation drives deadly human-wildlife conflict&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
"Integrated Strategies To Meet Biodiversity, Climate, and Water Objectives - SciTechDaily",https://scitechdaily.com/integrated-strategies-to-meet-biodiversity-climate-and-water-objectives/,9/4/2021,"Integrated Strategies To Meet Biodiversity, Climate, and Water Objectives&nbsp;&nbsp;SciTechDaily",SciTechDaily,AI-LTS
Vermont wildlife advocates celebrate a ​big win​ ​ - vtdigger.org,https://vtdigger.org/press_release/vermont-wildlife-advocates-celebrate-a-big-win/,5/13/2022,Vermont wildlife advocates celebrate a ​big win​ ​&nbsp;&nbsp;vtdigger.org,vtdigger.org,AI-LTS
Evusheld long-acting antibody combination recommended for approval in the EU for the pre-exposure prophylaxis (prevention) of COVID-19 - AstraZeneca,https://www.astrazeneca.com/media-centre/press-releases/2022/evusheld-long-acting-antibody-combination-recommended-for-approval-in-the-eu-for-the-pre-exposure-prophylaxis-prevention-of-covid-19.html,3/24/2022,Evusheld long-acting antibody combination recommended for approval in the EU for the pre-exposure prophylaxis (prevention) of COVID-19&nbsp;&nbsp;AstraZeneca,AstraZeneca,AI-LTS
