Title,Link,pubDate,Description,Source,Tag
Could this low cost fix improve water quality and wildlife habitat in local streams? - WVXU,https://www.wvxu.org/environment/2022-05-09/low-cost-logs-water-quality-wildlife-habitat-local-streams,5/9/2022,Could this low cost fix improve water quality and wildlife habitat in local streams?&nbsp;&nbsp;WVXU,WVXU,Sensors-Lidar
C-V2X warns drivers of stopped school buses and more - FierceElectronics,https://www.fierceelectronics.com/sensors/c-v2x-warns-drivers-stopped-school-buses-and-more,5/17/2022,C-V2X warns drivers of stopped school buses and more&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Lidar
Cisco : Foundation sparks innovation by investing in promising solutions to climate change - Marketscreener.com,https://www.marketscreener.com/quote/stock/CISCO-SYSTEMS-INC-4862/news/Cisco-Foundation-sparks-innovation-by-investing-in-promising-solutions-to-climate-change-40742950/,6/16/2022,Cisco : Foundation sparks innovation by investing in promising solutions to climate change&nbsp;&nbsp;Marketscreener.com,Marketscreener.com,Sensors-Lidar
AMD and Qualcomm team up on business laptop silicon - FierceElectronics,https://www.fierceelectronics.com/iot-wireless/amd-and-qualcomm-team-business-laptop-silicon,5/17/2022,AMD and Qualcomm team up on business laptop silicon&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Lidar
Scientists Show How Forests Measure Up - nasa.gov,https://earthobservatory.nasa.gov/images/149793/scientists-show-how-forests-measure-up,5/12/2022,Scientists Show How Forests Measure Up&nbsp;&nbsp;nasa.gov,nasa.gov,Sensors-Lidar
Thinning increases forest resiliency during unprecedented drought | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12982-z,5/31/2022,Thinning increases forest resiliency during unprecedented drought | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Lidar
AI Species Identifications from Audio Recordings - Bay Nature,https://baynature.org/2022/04/04/can-machine-learning-identify-species-from-sound-alone-a-north-bay-group-is-trying/,4/4/2022,AI Species Identifications from Audio Recordings&nbsp;&nbsp;Bay Nature,Bay Nature,Sensors-Lidar
New AMD starter kit aims to accelerate robotics development - FierceElectronics,https://www.fierceelectronics.com/iot-wireless/new-amd-starter-kit-aims-accelerate-robotics-development,5/17/2022,New AMD starter kit aims to accelerate robotics development&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Lidar
Can Lidar Save the Earth? - Geo Week News,https://www.geoweeknews.com/blogs/can-lidar-save-the-earth,4/20/2022,Can Lidar Save the Earth?&nbsp;&nbsp;Geo Week News,Geo Week News,Sensors-Lidar
“Industry-first” power-over-ethernet 3D lidar sensor to monitor large areas - SmartCitiesWorld,https://www.smartcitiesworld.net/internet-of-things/internet-of-things/industry-first-power-over-ethernet-3d-lidar-sensor-to-monitor-large-areas,3/23/2022,“Industry-first” power-over-ethernet 3D lidar sensor to monitor large areas&nbsp;&nbsp;SmartCitiesWorld,SmartCitiesWorld,Sensors-Lidar
Bowler Pons deploys Cepton's smart LiDAR solution to augment 3D security system - Geospatial World,https://www.geospatialworld.net/news/bowler-pons-deploys-ceptons-smart-lidar-solution-to-augment-3d-security-system-for-critical-infrastructure/,3/2/2022,Bowler Pons deploys Cepton's smart LiDAR solution to augment 3D security system&nbsp;&nbsp;Geospatial World,Geospatial World,Sensors-Lidar
Reading the Landscape - NASA Applied Science,https://appliedsciences.nasa.gov/our-impact/people/reading-landscape,1/21/2022,Reading the Landscape&nbsp;&nbsp;NASA Applied Science,NASA Applied Science,Sensors-Lidar
LiDAR technology shines new light on Guatemala's ancient Maya ruins - The Washington Diplomat,https://washdiplomat.com/lidar-technology-shines-new-light-on-guatemalas-ancient-maya-ruins/,2/8/2022,LiDAR technology shines new light on Guatemala's ancient Maya ruins&nbsp;&nbsp;The Washington Diplomat,The Washington Diplomat,Sensors-Lidar
Is quantum computing headed for a financial reckoning? - FierceElectronics,https://www.fierceelectronics.com/embedded/quantum-computing-headed-financial-reckoning,5/19/2022,Is quantum computing headed for a financial reckoning?&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Lidar
How Lidar Can Protect Privacy and Advance Safety in Smart City Applications - StateTech Magazine,https://statetechmagazine.com/article/2021/11/how-lidar-can-protect-privacy-and-advance-safety-smart-city-applications,11/2/2021,How Lidar Can Protect Privacy and Advance Safety in Smart City Applications&nbsp;&nbsp;StateTech Magazine,StateTech Magazine,Sensors-Lidar
Wildfires Demand a Multi-Pronged Attack - T&D World,https://www.tdworld.com/wildfire/article/21237460/wildfires-demand-a-multipronged-attack,6/7/2022,Wildfires Demand a Multi-Pronged Attack&nbsp;&nbsp;T&amp;D World,T&D World,Sensors-Lidar
Five Ways NASA Helps With Shark Conservation - NASA,https://www.nasa.gov/feature/esnt/2021/five-ways-nasa-helps-with-shark-conservation,7/14/2021,Five Ways NASA Helps With Shark Conservation&nbsp;&nbsp;NASA,NASA,Sensors-Lidar
Researchers turn to drones for that big-picture view of the forest canopy - Mongabay.com,https://news.mongabay.com/2022/03/researchers-turn-to-drones-for-that-big-picture-view-of-the-forest-canopy/,3/21/2022,Researchers turn to drones for that big-picture view of the forest canopy&nbsp;&nbsp;Mongabay.com,Mongabay.com,Sensors-Lidar
Garmin Varia RCT715 Camera + Radar In-Depth Review - DC Rainmaker,https://www.dcrainmaker.com/2022/05/garmin-rct715-varia-rearview-bikelight-radar-camera-review.html,5/18/2022,Garmin Varia RCT715 Camera + Radar In-Depth Review&nbsp;&nbsp;DC Rainmaker,DC Rainmaker,Sensors-Lidar
"Remote Sensing, Neural Networks Combine to Measure Tree Height - Photonics.com",https://www.photonics.com/Articles/Remote_Sensing_Neural_Networks_Combine_to/a67980,4/29/2022,"Remote Sensing, Neural Networks Combine to Measure Tree Height&nbsp;&nbsp;Photonics.com",Photonics.com,Sensors-Lidar
How Mapping Beaver Wetlands Can Chart a Path to a Better Water Future - Walton Family Foundation,https://www.waltonfamilyfoundation.org/stories/environment/how-mapping-beaver-wetlands-can-chart-a-path-to-a-better-water-future,2/9/2022,How Mapping Beaver Wetlands Can Chart a Path to a Better Water Future&nbsp;&nbsp;Walton Family Foundation,Walton Family Foundation,Sensors-Lidar
Sensor technology for explosion-protected areas - May 2022 - Pepperl+Fuchs - SA Instrumentation & Control - SA Instrumentation and Control,https://www.instrumentation.co.za/16175r,4/26/2022,Sensor technology for explosion-protected areas - May 2022 - Pepperl+Fuchs - SA Instrumentation & Control&nbsp;&nbsp;SA Instrumentation and Control,SA Instrumentation and Control,Sensors-Lidar
Dallas Invents: 121 Patents Granted for Week of April 26 - dallasinnovates.com,https://dallasinnovates.com/dallas-invents-121-patents-granted-for-week-of-april-26/,5/25/2022,Dallas Invents: 121 Patents Granted for Week of April 26&nbsp;&nbsp;dallasinnovates.com,dallasinnovates.com,Sensors-Lidar
The economic importance of biodiversity | JP Morgan Asset Management - J.P. Morgan & Co.,https://am.jpmorgan.com/us/en/asset-management/adv/insights/portfolio-insights/sustainable-investing/the-economic-importance-of-biodiversity/,5/9/2022,The economic importance of biodiversity | JP Morgan Asset Management&nbsp;&nbsp;J.P. Morgan & Co.,J.P. Morgan & Co.,Sensors-Lidar
